function,week,x1,x2,x3,x4,x5,x6,x7,x8,output
F1,3,0.243789,0.271981,,,,,,, 2.241686172961934e-38
F2,3,0.642398,0.967781,,,,,,,0.283503040504399
F3,3,0.267336,0.226569,0.437517,,,,,,-0.036082074169511
F4,3,0.534616,0.470071,0.430432,0.237463,,,,,-3.769558238448095
F5,3,0.983507,0.997014,0.960043,0.976845,,,,,7197.832269996479
F6,3,0.709080,0.208187,0.767511,0.744121,0.107346,,,,-0.569635442990156
F7,3,0.135949,0.411700,0.209304,0.256181,0.410733,0.732444,,,1.785139372451889
F8,3,0.106675,0.011439,0.210614,0.091867,0.366575,0.736816,0.442316,0.860648,9.683598182481100
