function,week,x1,x2,x3,x4,x5,x6,x7,x8,output
F1,5,0.187312,0.917168,,,,,,,2.5798899975771988e-194
F2,5,0.670333,0.923855,,,,,,,0.5009160182377619
F3,5,0.276762,0.350396,0.433114,,,,,,-0.022909225627901514
F4,5,0.489738,0.422114,0.504747,0.243196,,,,,-3.424938968473334
F5,5,0.999655,0.999870,0.999571,0.999983,,,,,8644.656714532975
F6,5,0.680412,0.167504,0.701507,0.758013,0.117027,,,,-0.5139130673925129
F7,5,0.050495,0.430839,0.248382,0.311948,0.394095,0.697366,,,1.794421725443299
F8,5,0.107558,0.037150,0.072523,0.039312,0.440773,0.888883,0.558936,0.997920,9.4757318375555
