function,week,x1,x2,x3,x4,x5,x6,x7,x8,output
F1,1,0.001000,0.999000,,,,,,,0.0
F2,1,0.001000,0.999000,,,,,,,-0.103332016167505
F3,1,0.437056,0.996752,0.890886,,,,,,-0.091753256062798
F4,1,0.009153,0.333687,0.980781,0.997681,,,,,-34.09002216462411
F5,1,0.999000,0.999000,0.999000,0.999000,,,,,8585.271169822427
F6,1,0.001000,0.001000,0.001000,0.001000,0.001000,,,,-2.315731879321139
F7,1,0.001000,0.001000,0.999000,0.001000,0.999000,0.001000,,,0.001696427762492
F8,1,0.001000,0.001000,0.001000,0.001000,0.999000,0.001000,0.001000,0.001000,9.5021894
